,word,frequency
140,way,4731
141,effort,4714
142,international,4714
143,give,4711
144,control,4707
145,reporter,4702
146,chief,4696
147,representative,4678
148,allow,4676
149,conservative,4643
150,democrat,4620
151,sanction,4568
152,voter,4545
153,see,4543
154,european,4523
155,medium,4475
156,speak,4442
157,syria,4396
158,islamic,4380
159,close,4336
160,base,4303
161,prime,4284
162,concern,4280
163,economic,4274
164,opposition,4213
165,ban,4211
166,investigation,4207
167,fight,4199
168,head,4197
169,find,4143
170,ally,4089
171,cut,4069
172,region,4061
173,follow,4057
174,show,4056
175,poll,4051
176,action,4032
177,executive,4029
178,late,4014
179,big,4002
180,justice,3997
181,senior,3985
182,visit,3963
183,defense,3937
184,continue,3936
185,remain,3935
186,post,3929
187,union,3926
188,governor,3923
189,sunday,3919
190,charge,3916
191,set,3915
192,intelligence,3909
193,good,3897
194,budget,3886
195,large,3876
196,act,3862
197,woman,3836
198,reform,3812
199,fund,3798
200,question,3787
201,job,3777
202,term,3777
203,pass,3770
204,britain,3759
205,agreement,3756
206,saudi,3753
207,authority,3752
208,missile,3737
209,use,3733
210,democrats,3723
211,release,3716
212,pay,3713
213,legislation,3695
214,deny,3685
215,sign,3669
216,al,3653
217,provide,3645
218,hope,3600
219,accuse,3580
220,service,3575
221,far,3558
222,home,3554
223,place,3552
224,muslim,3552
225,raise,3545
226,director,3537
227,system,3529
228,measure,3503
229,area,3489
230,major,3487
231,agree,3486
232,majority,3481
233,step,3477
234,old,3446
235,open,3441
236,coalition,3441
237,family,3425
238,number,3408
239,clear,3396
240,likely,3392
241,bring,3390
242,refugee,3372
243,request,3364
244,consider,3360
245,look,3357
246,believe,3342
247,health,3340
248,point,3339
249,barack,3335
250,bank,3335
251,immigration,3334
252,interview,3333
253,return,3327
254,mexico,3322
255,man,3322
256,judge,3312
257,militant,3264
258,nation,3241
259,financial,3240
260,parliament,3227
261,crisis,3220
262,increase,3202
263,ministry,3197
264,turkey,3183
265,air,3167
266,iraq,3164
267,elect,3161
268,low,3143
269,send,3140
270,capital,3131
271,syrian,3131
272,start,3129
273,fire,3124
274,nominee,3118
275,market,3105
276,recent,3103
277,tie,3099
278,myanmar,3095
279,legal,3049
280,make,3032
281,back,3029
282,anti,3029
283,moscow,3025
284,speech,3011
285,write,2973
286,begin,2966
287,information,2966
288,center,2953
289,interest,2937
290,later,2926
291,army,2916
292,economy,2914
293,local,2914
294,possible,2913
295,process,2902
296,push,2902
297,discuss,2884
298,position,2870
299,urge,2863
300,oil,2859
301,council,2853
302,human,2842
303,supreme,2832
304,saturday,2832
305,fail,2826
306,arrest,2801
307,conference,2801
308,stop,2790
309,mean,2788
310,decade,2776
311,hillary,2774
312,attorney,2769
313,child,2768
314,travel,2768
315,email,2761
316,lawyer,2751
317,chinese,2740
318,adviser,2733
319,supporter,2727
320,chairman,2723
321,germany,2719
322,debate,2712
323,threat,2711
324,free,2709
325,offer,2693
326,reach,2692
327,israel,2683
328,protest,2681
329,decline,2667
330,create,2661
331,build,2659
332,americans,2656
333,role,2652
334,twitter,2648
335,serve,2647
336,social,2646
337,money,2645
338,strong,2642
339,target,2642
340,strike,2639
341,respond,2637
342,past,2633
343,announce,2630
344,putin,2626
345,challenge,2625
346,result,2621
347,appear,2609
348,lose,2605
349,korean,2597
350,review,2592
351,wall,2590
352,tillerson,2580
353,america,2577
354,independence,2571
355,proposal,2562
356,require,2561
357,healthcare,2559
358,future,2550
359,cost,2546
360,ahead,2532
361,peace,2530
362,second,2522
363,relation,2503
364,congressional,2492
365,weapon,2489
366,worker,2487
367,march,2478
368,nov,2471
369,promise,2469
370,staff,2464
371,firm,2459
372,level,2444
373,race,2436
374,central,2434
375,industry,2434
376,great,2431
377,team,2413
378,claim,2402
379,conflict,2401
380,obamacare,2391
381,pressure,2390
382,stand,2379
383,brexit,2378
384,line,2374
385,propose,2373
386,get,2371
387,address,2369
388,letter,2366
389,commission,2358
390,energy,2354
391,operation,2352
392,organization,2351
393,violence,2351
394,view,2340
395,east,2336
396,test,2333
397,protect,2296
398,school,2292
399,carry,2291
400,confirm,2291
401,focus,2287
402,receive,2286
403,block,2280
404,aim,2277
405,nations,2277
406,cite,2252
407,share,2251
408,appeal,2247
409,british,2247
410,john,2247
411,oppose,2246
412,turn,2245
413,private,2242
414,despite,2233
415,beijing,2233
416,response,2233
417,merkel,2233
418,japan,2223
419,rohingya,2221
420,rate,2214
421,aid,2213
422,criticize,2194
423,move,2194
424,thing,2190
425,kurdish,2188
426,july,2186
427,launch,2179
428,community,2175
429,decide,2174
430,thousand,2164
431,cause,2163
432,hard,2161
433,civil,2161
434,regional,2160
435,small,2158
436,europe,2156
437,allegation,2155
438,german,2152
439,global,2139
440,key,2139
441,nearly,2139
442,fbi,2138
443,nomination,2135
444,current,2131
445,rise,2130
446,press,2122
447,sander,2120
448,involve,2117
449,university,2105
450,approve,2103
451,prosecutor,2102
452,near,2092
453,special,2089
454,hour,2084
455,matter,2077
456,break,2077
457,warn,2074
458,important,2058
459,ryan,2047
460,citizen,2045
461,risk,2043
462,vice,2036
463,island,2033
464,london,2032
465,grow,2032
466,investment,2030
467,demand,2029
468,problem,2021
469,immediately,2017
470,rival,2012
471,fear,2009
472,immigrant,2008
473,attempt,2007
474,project,2004
475,live,1997
476,street,1996
477,hand,1994
478,western,1986
479,join,1985
480,account,1980
481,cruz,1978
482,event,1977
483,spending,1973
484,june,1971
485,officer,1970
486,northern,1968
487,arabia,1967
488,florida,1966
489,well,1964
490,france,1956
491,debt,1939
492,aide,1934
493,price,1934
494,form,1933
495,funding,1931
496,expert,1931
497,death,1929
498,climate,1928
499,detail,1927
